id;span_text;raw_output;pred_label;true_label;confidence;rationale
1627;Get away from Ranboo you slimy green bastard. All Dream;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted insult with a racial slur ('green bastard') and a derogatory term ('slimy') directed at a specific individual ('Ranboo'), which is a clear example of conflictual language.""
}";1;1;HIGH;The span contains a targeted insult with a racial slur ('green bastard') and a derogatory term ('slimy') directed at a specific individual ('Ranboo'), which is a clear example of conflictual language.
102;@treasuremembers To our vitamin A B C D E F;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""No explicit harmful content or protected category attacks found in the span_text.""
}";0;0;HIGH;No explicit harmful content or protected category attacks found in the span_text.
512;to the crimes committed by Trash and his cronies, the;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""No explicit harmful content found in the span_text. The phrase 'Trash and his cronies' is a derogatory term, but it is not a protected category slur.""
}";0;1;HIGH;No explicit harmful content found in the span_text. The phrase 'Trash and his cronies' is a derogatory term, but it is not a protected category slur.
181;@WMerciaPolice i think you need to fire one of your;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span_text contains a targeted insult towards WMerciaPolice, which is a protected category.""
}";1;0;MEDIUM;The span_text contains a targeted insult towards WMerciaPolice, which is a protected category.
473;'Don't weather the storm, be that motherfucker' - Kevin Hart;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains a targeted insult with profanity, specifically 'motherfucker', which is a severe form of verbal aggression.""
}";1;0;HIGH;The span contains a targeted insult with profanity, specifically 'motherfucker', which is a severe form of verbal aggression.
104;I can admit it Am severely depressed and disappointed in;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""LOW"",
   ""rationale"": ""The span_text does not contain explicit conflictual language or harmful content, but mentions depression which is a sensitive topic.""
}";0;0;LOW;The span_text does not contain explicit conflictual language or harmful content, but mentions depression which is a sensitive topic.
182;The legal definition does not say it is a banned;"{
  ""label"": ""NONE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not contain any explicit or implicit harmful content, profanity, slurs, or targeted insults.""
}";0;0;HIGH;The span_text does not contain any explicit or implicit harmful content, profanity, slurs, or targeted insults.
995;about PVO here. Perhaps the numbskull gene skips a generation.;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a derogatory term ('numbskull') and a derogatory phrase ('numbskull gene'), which are considered targeted insults.""
}";1;1;HIGH;The span_text contains a derogatory term ('numbskull') and a derogatory phrase ('numbskull gene'), which are considered targeted insults.
1719;the plug, I want to be smothered in sweaty stanky;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains targeted derogatory language ('stanky') that is often used as a racial slur.""
}";1;1;HIGH;The span_text contains targeted derogatory language ('stanky') that is often used as a racial slur.
250;revere our best. Now we idolize stupidity and mediocrity. PeopleAreDumb;"{
  ""label"": ""CENSURE_LABEL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted insult towards a group of people ('PeopleAreDumb'), which is a form of conflictual language.""
}";1;1;HIGH;The span_text contains a targeted insult towards a group of people ('PeopleAreDumb'), which is a form of conflictual language.
