span_id,span_text,start_time,end_time,has_excessive_profanity,has_slur,has_targeted_insult,llm_label,llm_confidence,llm_rationale,final_enforced_label
0,i simply must get through sorry you're much too big yeah man bobby two pistols in,0.824,7.075,,,,,,,
1,much you're sorry through too big yeah man bobby two pistols in,2.066,7.075,,,,,,,
2,too much you're sorry big yeah man bobby two pistols in,2.487,7.075,,,,,,,
3,big too much you're yeah man bobby two pistols in,2.848,7.075,,,,,,,
4,yeah big too much man bobby two pistols in,3.048,7.075,,,,,,,
5,man yeah big too bobby two pistols in his bitch yeah man fuck all those niggers man martin luther king deserved to be killed that fucking nigger just,3.469,14.108,,,,,,,
6,king luther martin man deserved to be killed that fucking nigger just fuck those apart fuck those niggers man fuck all niggas fuck,10.001,24.249,,,,,,,
7,apart those fuck just fuck those niggers man fuck all niggas fuck,13.988,24.249,,,,,,,
8,fuck apart those fuck those niggers man fuck all niggas fuck,14.168,24.249,,,,,,,
9,those fuck apart those niggers man fuck all niggas fuck,14.369,24.249,,,,,,,
10,niggers those fuck apart man fuck all niggas fuck,14.649,24.249,,,,,,,
11,man niggers those fuck fuck all niggas fuck all niggas fuck all those niggas fuck all those niggas fuck all those niggas fuck all those niggas,15.811,32.282,,,,,,,
12,niggas those all fuck fuck all those niggas fuck all those niggas,27.342,32.282,,,,,,,
13,fuck niggas those all all those niggas fuck all those niggas,27.723,32.282,,,,,,,
14,all fuck niggas those those niggas fuck all those niggas,27.904,32.282,,,,,,,
15,those all fuck niggas niggas fuck all those niggas,28.185,32.282,,,,,,,
16,niggas those all fuck fuck all those niggas they wanna rap and,29.029,36.254,,,,,,,
17,fuck niggas those all all those niggas they wanna rap and,29.45,36.254,,,,,,,
18,all fuck niggas those those niggas they wanna rap and,29.631,36.254,,,,,,,
19,those all fuck niggas niggas they wanna rap and,29.912,36.254,,,,,,,
20,niggas those all fuck they wanna rap and steal my shit because they can't get shit go and get a job stop trying to rob stop trying to,31.057,43.08,,,,,,,
21,a get and go job stop trying to rob stop trying to fuck my mom my dick is bigger than yards fuck all niggas they can burn in,39.297,48.626,,,,,,,
22,than bigger is dick yards fuck all niggas they can burn in hell fuck rosa parks i'll slap that bitch as well niggas need to burn niggas need,44.462,55.373,,,,,,,
23,bitch that slap i'll as well niggas need to burn niggas need to learn niggas can't pass class niggas can't learn yeah fuck all those,51.209,68.363,,,,,,,
24,pass can't niggas learn class niggas can't learn yeah fuck all those,55.553,68.363,,,,,,,
25,class pass can't niggas niggas can't learn yeah fuck all those,56.454,68.363,,,,,,,
26,niggas class pass can't can't learn yeah fuck all those,56.874,68.363,,,,,,,
27,can't niggas class pass learn yeah fuck all those,57.455,68.363,,,,,,,
28,learn can't niggas class yeah fuck all those niggas fuck all those niggas fuck all those niggas yeah bitch my name is bobby two pistols you try to,57.675,77.411,,,,,,,
29,my bitch yeah niggas name is bobby two pistols you try to rob me i got a pistol i'm shooting a black nigger in his head again and,71.866,83.837,,,,,,,
30,shooting i'm pistol a a black nigger in his head again and bitch i am,78.572,84.598,,,,,,,
31,nigger black a shooting in his head again and bitch i am,80.454,84.598,,,,,,,
32,in nigger black a his head again and bitch i am,80.934,84.598,,,,,,,
33,his in nigger black head again and bitch i am,81.074,84.598,,,,,,,
34,head his in nigger again and bitch i am,81.355,84.598,,,,,,,
35,again head his in and bitch i am not george zimmerman i'm gonna kill that nigger dead kill that nigger dead record that shit and put it on,81.795,92.285,,,,,,,
36,nigger that kill dead dead record that shit and put it on worldstar as well fuck all those niggas they can burn in hell fuck eric garner he,88.121,99.213,,,,,,,
37,they niggas those all can burn in hell fuck eric garner he fat as fucking hell fuck all those niggas i'll choke them out fuck all those niggas,94.627,105.821,,,,,,,
38,niggas those all fuck i'll choke them out fuck all those niggas,101.035,105.821,,,,,,,
39,i'll niggas those all choke them out fuck all those niggas,101.415,105.821,,,,,,,
40,choke i'll niggas those them out fuck all those niggas,101.596,105.821,,,,,,,
41,them choke i'll niggas out fuck all those niggas,101.916,105.821,,,,,,,
42,out them choke i'll fuck all those niggas i'll shoot it out if a nigger gets,102.397,108.664,,,,,,,
43,niggas those all fuck i'll shoot it out if a nigger gets,104.459,108.664,,,,,,,
44,i'll niggas those all shoot it out if a nigger gets,104.82,108.664,,,,,,,
45,shoot i'll niggas those it out if a nigger gets,105.02,108.664,,,,,,,
46,it shoot i'll niggas out if a nigger gets,105.34,108.664,,,,,,,
47,out it shoot i'll if a nigger gets mad then we can shoot it out bitch i don't fight,105.841,111.868,,,,,,,
48,we then mad gets can shoot it out bitch i don't fight,108.404,111.868,,,,,,,
49,can we then mad shoot it out bitch i don't fight,108.745,111.868,,,,,,,
50,shoot can we then it out bitch i don't fight,109.205,111.868,,,,,,,
51,it shoot can we out bitch i don't fight,109.425,111.868,,,,,,,
52,out it shoot can bitch i don't fight with niggers they'll beat me down they is like the junk like to take a,109.485,117.784,,,,,,,
53,they down me beat is like the junk like to take a,112.97,117.784,,,,,,,
54,is they down me like the junk like to take a,113.41,117.784,,,,,,,
55,like is they down the junk like to take a,113.47,117.784,,,,,,,
56,the like is they junk like to take a,114.332,117.784,,,,,,,
57,junk the like is like to take a nigga car and rap at the same time stupid ass niggas all they can do is rhyme they can never,114.632,124.881,,,,,,,
58,all niggas ass stupid they can do is rhyme they can never get a motherfuckin' 9 to 5 stupid ass niggas don't know 5 plus 5 they just,120.651,131.375,,,,,,,
59,ass stupid 5 to niggas don't know 5 plus 5 they just know that if i can do a rhyme i can get time yeah fuck all those,126.544,136.066,,,,,,,
60,rhyme a do can i can get time yeah fuck all those niggas fuck all those niggas fuck all those niggas fuck all those niggas yeah fuck all,132.237,142.659,,,,,,,
61,those all fuck niggas niggas fuck all those niggas yeah fuck all those niggas fuck all those niggas fuck all those niggas yeah fuck all those niggas niggas,137.889,149.313,,,,,,,
62,all fuck niggas those those niggas yeah fuck all those niggas niggas can burn in hell trayvon as well niggas can burn in hell niggas burn all the,144.483,167.817,,,,,,,
63,niggas well as trayvon can burn in hell niggas burn all the niggers in,150.756,168.678,,,,,,,
64,burn can niggas well in hell niggas burn all the niggers in,151.618,168.678,,,,,,,
65,in burn can niggas hell niggas burn all the niggers in,152.499,168.678,,,,,,,
66,hell in burn can niggas burn all the niggers in,152.78,168.678,,,,,,,
67,niggas hell in burn burn all the niggers in,152.9,168.678,,,,,,,
68,burn niggas hell in all the niggers in this bitch you motherfuckers used to be slaves now you think you can ride in my escalade stupid ass nigger,153.241,177.65,,,,,,,
69,you think you now can ride in my escalade stupid ass nigger better clean my car good before i get this whip out and then shoot you in,173.044,182.137,,,,,,,
70,get i before good this whip out and then shoot you in your hood dumbass nigger stupid ass nigger you calling me a cracker well it's better to,178.912,188.746,,,,,,,
71,you nigger ass stupid calling me a cracker well it's better to be a nigger better than being a,185.001,191.65,,,,,,,
72,better it's well cracker to be a nigger better than being a,187.344,191.65,,,,,,,
73,to better it's well be a nigger better than being a,188.025,191.65,,,,,,,
74,be to better it's a nigger better than being a,188.345,191.65,,,,,,,
75,a be to better nigger better than being a,188.465,191.65,,,,,,,
76,nigger a be to better than being a nigger bitch you're so black,188.706,194.694,,,,,,,
77,better nigger a be than being a nigger bitch you're so black,188.826,194.694,,,,,,,
