span_id,span_text,start_time,end_time,has_excessive_profanity,has_slur,has_targeted_insult,has_threat_or_violence,profanity_hits,slur_hits,insult_hits,threat_or_violence_hits,min_allowed_label,final_enforced_label,llm_label,llm_confidence,llm_rationale
0,i simply must get through sorry you're much too big,0.824,4.33,False,False,False,False,[],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,MEDIUM,"The phrase 'you're much too big' is a derogatory comment, which is a form of hate speech."
1,sorry through you're much too big yeah man bobby two,2.066,6.354,False,False,False,False,[],[],[],[],NONE,NONE,NONE,HIGH,The span_text contains a non-offensive phrase with a neutral tone and no explicit harm-inducing language.
2,big too yeah man bobby two,3.469,6.354,False,False,False,False,[],[],[],[],NONE,NONE,NONE,HIGH,"No explicit harmful content, excessive profanity, slurs, or targeted insults found in the span_text."
3,yeah big man bobby two,3.549,6.354,False,False,False,False,[],[],[],[],NONE,NONE,NONE,HIGH,No explicit phrases or patterns from span_text indicate harmful content.
4,man yeah bobby two pistols in his bitch yeah man fuck all,4.35,9.219,True,False,False,False,"['bitch', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of excessive profanity ('fuck') and derogatory language ('bitch') in the span_text, combined with the minimum allowed label of HATE_SPEECH_GENERAL, justify the classification."
5,bitch his yeah man fuck all,7.095,9.219,True,False,False,False,"['bitch', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"Excessive profanity ('fuck') and derogatory term ('bitch') in the span_text, exceeding minimum allowed label of HATE_SPEECH_GENERAL."
6,yeah bitch man fuck all,7.176,9.219,True,False,False,False,"['bitch', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,The presence of profanity ('fuck') and the use of derogatory language ('bitch') justify the label. The 'minimum_allowed_label' is not a determining factor in this case.
7,man yeah fuck all those niggers man martin luther,7.396,11.243,False,False,False,False,['fuck'],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,The presence of the racial slur 'niggers' and excessive profanity ('fuck') justify the label of HATE_SPEECH_GENERAL.
8,those all niggers man martin luther,9.099,11.243,False,False,False,False,[],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span_text contains a racial slur ('niggers'), which is a clear indicator of hate speech."
9,niggers those man martin luther,9.259,11.243,False,False,False,False,[],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"Presence of derogatory term 'niggers' and reference to 'martin luther', a figure associated with civil rights movement, which can be interpreted as hate speech."
10,man niggers martin luther king deserved to be killed that fucking nigger,9.48,13.607,False,True,False,False,[],['nigger'],[],[],HATE_SPEECH_GENERAL,EXTREMISM_PROMOTION,EXTREMISM_PROMOTION,HIGH,"The span_text explicitly mentions killing a prominent historical figure, Martin Luther King, and uses multiple racial slurs, indicating extreme hatred and promotion of violence."
11,be to killed that fucking nigger just fuck,11.904,14.349,False,True,False,False,['fuck'],['nigger'],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,Presence of explicit racial slur ('nigger') and excessive profanity ('fucking') in the span_text.
12,that killed fucking nigger just fuck,12.385,14.349,True,True,False,False,['fuck'],['nigger'],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"Presence of explicit profanity ('fucking', 'fuck') and racial slur ('nigger') which exceeds minimum allowed label."
13,fucking that nigger just fuck,12.926,14.349,True,True,False,False,['fuck'],['nigger'],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,The presence of the slur 'nigger' and excessive profanity ('fucking') directly aligns with the criteria for HATE_SPEECH_GENERAL.
14,nigger fucking just fuck those apart fuck those niggers man fuck all,13.066,22.943,True,True,False,False,"['fuck', 'fuck', 'fuck']",['nigger'],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of explicit racial slurs ('nigger') and excessive profanity ('fucking', 'fuck') justify the label of HATE_SPEECH_GENERAL."
15,those fuck niggers man fuck all,15.811,22.943,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,Presence of excessive profanity and potential racial slur ('niggers')
16,niggers those man fuck all,16.072,22.943,True,False,False,False,['fuck'],[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,Presence of racial slur 'niggers' and excessive profanity.
17,man niggers fuck all niggas fuck all,16.332,24.63,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of repeated profanity and derogatory terms ('niggers', 'niggas') in the span_text, which exceeds the minimum threshold for hate speech."
18,fuck man all niggas fuck all,16.713,24.63,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,Excessive profanity and presence of derogatory term 'niggas' justify HATE_SPEECH_GENERAL label.
19,all fuck niggas fuck all,22.12,24.63,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profanity ('fuck') and a derogatory term ('niggas'), which aligns with the minimum allowed label of HATE_SPEECH_GENERAL."
20,niggas all fuck all niggas fuck all,22.722,26.237,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,Excessive profanity and use of derogatory term 'niggas' indicates hate speech.
21,fuck niggas all niggas fuck all,23.024,26.237,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,Presence of excessive profanity and potential racial slur ('niggas') in the span_text.
22,all fuck niggas fuck all,23.887,26.237,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"Presence of excessive profanity and potential derogatory language, exceeding minimum allowed label threshold."
23,niggas all fuck all those niggas fuck all,24.43,27.844,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profanity and a slur, which aligns with the minimum_allowed_label and exceeds the threshold for HATE_SPEECH_GENERAL."
24,all fuck those niggas fuck all,25.614,27.844,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,Presence of excessive profanity and derogatory language ('fuck those niggas') meets the criteria for hate speech general.
25,those all niggas fuck all,26.117,27.844,True,False,False,False,['fuck'],[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span contains a racial slur, which is a characteristic of hate speech."
26,niggas those fuck all those niggas fuck all,26.277,29.571,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profanity ('fuck') and a derogatory term ('niggas'), which aligns with the characteristics of hate speech."
27,all fuck those niggas fuck all,27.342,29.571,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span contains excessive profanity ('fuck') and a slur-like phrase ('niggas'), which warrants a label of HATE_SPEECH_GENERAL."
28,those all niggas fuck all,27.723,29.571,True,False,False,False,['fuck'],[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of a racial slur, 'niggas', in the span_text, justifies the label of HATE_SPEECH_GENERAL."
29,niggas those fuck all those niggas fuck all,27.904,31.278,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profanity and a derogatory term, meeting the criteria for HATE_SPEECH_GENERAL."
30,all fuck those niggas fuck all,29.029,31.278,True,False,False,False,"['fuck', 'fuck']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,Presence of excessive profanity and derogatory language ('fuck those niggas') meets the threshold for hate speech.
31,those all niggas fuck all,29.45,31.278,True,False,False,False,['fuck'],[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of a racial slur ('niggas') in the span_text, which is explicitly mentioned in the input signals and meets the minimum allowed label."
32,niggas those fuck all those niggas they wanna,29.631,35.793,False,False,False,False,['fuck'],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of racial slurs ('niggas') and excessive profanity ('fuck') in the span_text, without any mitigating context, justifies the classification as HATE_SPEECH_GENERAL."
33,all fuck those niggas they wanna,31.057,35.793,True,False,False,False,['fuck'],[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,The presence of profanity and a slur ('niggas') in the span_text indicates hate speech.
34,those all niggas they wanna,31.157,35.793,False,False,False,False,[],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of a racial slur ('niggas') in the span_text, which is not justified or contextualized, indicates hate speech."
35,niggas those they wanna rap and steal my shit because they can't,31.338,37.955,False,False,False,False,['shit'],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of a derogatory term ('niggas') towards a group of people, and an insult ('they wanna rap and steal my shit') directed at them, indicates hate speech."
36,my steal shit because they can't get shit go and,36.294,39.677,True,False,False,False,"['shit', 'shit']",[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,The presence of excessive profanity in 'my steal shit because they can't get shit go and' warrants a label of HATE_SPEECH_GENERAL.
37,can't they get shit go and,37.415,39.677,True,False,False,False,['shit'],[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The presence of excessive profanity in the span_text, specifically the use of the word 'shit', justifies the HATE_SPEECH_GENERAL label."
38,get can't shit go and,37.575,39.677,True,False,False,False,['shit'],[],[],[],HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,MEDIUM,"The presence of profanity in the span_text, despite not being a slur or targeted insult, warrants a label of HATE_SPEECH_GENERAL."
39,shit get go and get a job stop trying,38.015,41.639,False,False,False,False,['shit'],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span_text contains profanity ('shit') and a general insult ('stop trying'), which aligns with the definition of hate speech."
40,get and a job stop trying,39.577,41.639,False,False,False,False,[],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,MEDIUM,"The phrase 'stop trying' can be perceived as a derogatory statement, targeting individuals who are struggling to find employment."
41,a get job stop trying,39.777,41.639,False,False,False,False,[],[],[],[],NONE,HATE_SPEECH_GENERAL,HATE_SPEECH_GENERAL,HIGH,"The span_text contains a derogatory phrase 'stop trying' which is a form of insult, targeting a person's ability to get a job, aligning with the definition of hate speech."
