id;span_text;raw_output;pred_label;true_label;confidence;rationale
1825;that unvaxxed get a chance to avoid the vaxxed. I;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains language that attacks based on protected categories ('vaxxed' and 'unvaxxed'), which is considered conflictual.""
}";2;2;HIGH;The span_text contains language that attacks based on protected categories ('vaxxed' and 'unvaxxed'), which is considered conflictual.
1063;and the secret cabal of Republican foot-fetishists and coprophils will;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains targeted conflictual language towards a specific group ('Republican foot-fetishists and coprophils') based on their political affiliation.""
}";2;2;HIGH;The span_text contains targeted conflictual language towards a specific group ('Republican foot-fetishists and coprophils') based on their political affiliation.
1226;emotionally fragile and physically weak whining cunt',''''. Its amazing how;"{
  ""label"": ""UNHARMFUL_PROFANITY"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains profanity ('cunt') which is not directed toward a specific entity, but still considered harmful.""
}";1;2;HIGH;The span_text contains profanity ('cunt') which is not directed toward a specific entity, but still considered harmful.
245;@user LMAOOOO 😂😂😂 not the faggotsies!!!;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains targeted derogatory language towards a specific group ('faggotsies'), which is an attack based on protected categories.""
}";2;2;HIGH;The span contains targeted derogatory language towards a specific group ('faggotsies'), which is an attack based on protected categories.
158;@POTUS @user Liberal translation: I'm going to TAX all of;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a targeted attack based on political affiliation ('Liberal') and a threat of taxation, which is a form of conflictual language.""
}";2;0;HIGH;The span_text contains a targeted attack based on political affiliation ('Liberal') and a threat of taxation, which is a form of conflictual language.
1176;place that is plagued with a lot of complete shitstains.;"{
  ""label"": ""UNHARMFUL_PROFANITY"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains profanity ('shitstains') without targeting a specific entity.""
}";1;2;HIGH;The span contains profanity ('shitstains') without targeting a specific entity.
1353;tweet with the most horrendous replies I can think of.;"{
  ""label"": ""NONE"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not explicitly contain conflictual language, profanity, or targeted insults, making it suitable for the NONE label.""
}";0;2;HIGH;The span_text does not explicitly contain conflictual language, profanity, or targeted insults, making it suitable for the NONE label.
1030;that those that seek power and privilege are generally cunts.;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains a derogatory term towards a protected category ('cunts'), which is considered conflictual language.""
}";2;1;HIGH;The span_text contains a derogatory term towards a protected category ('cunts'), which is considered conflictual language.
500;@jlist @user I've heard of shiny days cuz of milfs;"{
  ""label"": ""UNHARMFUL_PROFANITY"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains profanity ('milfs') without targeting a specific entity.""
}";1;0;HIGH;The span_text contains profanity ('milfs') without targeting a specific entity.
1493;can't help so I'm trying to do this authy shit;"{
  ""label"": ""UNHARMFUL_PROFANITY"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The presence of profanity ('shit') in the span_text, without any targeted insult or slur, justifies this classification.""
}";1;1;MEDIUM;The presence of profanity ('shit') in the span_text, without any targeted insult or slur, justifies this classification.
1900;lickers think a hope she destroys them all vile bastards;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains targeted insults and derogatory language ('vile bastards') directed towards a group, which is considered conflictual.""
}";2;2;HIGH;The span_text contains targeted insults and derogatory language ('vile bastards') directed towards a group, which is considered conflictual.
800;the left include every misfit in society that can barely;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""MEDIUM"",
   ""rationale"": ""The span_text contains language that implies exclusion or marginalization of certain groups, specifically 'every misfit in society', which can be interpreted as a derogatory term.""
}";2;2;MEDIUM;The span_text contains language that implies exclusion or marginalization of certain groups, specifically 'every misfit in society', which can be interpreted as a derogatory term.
523;weWantOnlineExam @Udhaystalin @mkstalin Annauniversity & All other universities @KPonmudiMLA We;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains targeted attack based on protected categories (university names) and a political figure (@KPonmudiMLA).""
}";2;0;HIGH;The span_text contains targeted attack based on protected categories (university names) and a political figure (@KPonmudiMLA).
764;heard of that, ill just call it mansexual or bitchsexual;"{
  ""label"": ""CONFLICTUAL"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text contains targeted insults and derogatory terms ('mansexual' or 'bitchsexual') that are directed towards a protected category, indicating conflictual language.""
}";2;1;HIGH;The span_text contains targeted insults and derogatory terms ('mansexual' or 'bitchsexual') that are directed towards a protected category, indicating conflictual language.
913;it really helps to not be an asshole in life.;"{
  ""label"": ""UNHARMFUL_PROFANITY"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span contains profanity ('asshole') but does not target a specific entity.""
}";1;2;HIGH;The span contains profanity ('asshole') but does not target a specific entity.
360;so uhhh i don't think tommy's gon na die today.;"{
  ""label"": ""NONE"",
   ""confidence"": ""HIGH"",
   ""rationale"": ""The span_text does not contain any conflictual language, profanity, or targeted insults.""
}";0;0;HIGH;The span_text does not contain any conflictual language, profanity, or targeted insults.
