span_id,span_text,start_time,end_time,has_excessive_profanity,has_slur,has_targeted_insult,has_threat_or_violence,profanity_hits,slur_hits,insult_hits,threat_or_violence_hits
0,i simply must get through sorry you're much too big,0.824,4.33,,,,,,,,
1,sorry through you're much too big yeah man bobby two,2.066,6.354,,,,,,,,
2,big too yeah man bobby two,3.469,6.354,,,,,,,,
3,yeah big man bobby two,3.549,6.354,,,,,,,,
4,man yeah bobby two pistols in his bitch yeah man fuck all,4.35,9.219,,,,,,,,
5,bitch his yeah man fuck all,7.095,9.219,,,,,,,,
6,yeah bitch man fuck all,7.176,9.219,,,,,,,,
7,man yeah fuck all those niggers man martin luther,7.396,11.243,,,,,,,,
8,those all niggers man martin luther,9.099,11.243,,,,,,,,
9,niggers those man martin luther,9.259,11.243,,,,,,,,
10,man niggers martin luther king deserved to be killed that fucking nigger,9.48,13.607,,,,,,,,
11,be to killed that fucking nigger just fuck,11.904,14.349,,,,,,,,
12,that killed fucking nigger just fuck,12.385,14.349,,,,,,,,
13,fucking that nigger just fuck,12.926,14.349,,,,,,,,
14,nigger fucking just fuck those apart fuck those niggers man fuck all,13.066,22.943,,,,,,,,
15,those fuck niggers man fuck all,15.811,22.943,,,,,,,,
16,niggers those man fuck all,16.072,22.943,,,,,,,,
17,man niggers fuck all niggas fuck all,16.332,24.63,,,,,,,,
18,fuck man all niggas fuck all,16.713,24.63,,,,,,,,
19,all fuck niggas fuck all,22.12,24.63,,,,,,,,
20,niggas all fuck all niggas fuck all,22.722,26.237,,,,,,,,
21,fuck niggas all niggas fuck all,23.024,26.237,,,,,,,,
22,all fuck niggas fuck all,23.887,26.237,,,,,,,,
23,niggas all fuck all those niggas fuck all,24.43,27.844,,,,,,,,
24,all fuck those niggas fuck all,25.614,27.844,,,,,,,,
25,those all niggas fuck all,26.117,27.844,,,,,,,,
26,niggas those fuck all those niggas fuck all,26.277,29.571,,,,,,,,
27,all fuck those niggas fuck all,27.342,29.571,,,,,,,,
28,those all niggas fuck all,27.723,29.571,,,,,,,,
29,niggas those fuck all those niggas fuck all,27.904,31.278,,,,,,,,
30,all fuck those niggas fuck all,29.029,31.278,,,,,,,,
31,those all niggas fuck all,29.45,31.278,,,,,,,,
32,niggas those fuck all those niggas they wanna,29.631,35.793,,,,,,,,
33,all fuck those niggas they wanna,31.057,35.793,,,,,,,,
34,those all niggas they wanna,31.157,35.793,,,,,,,,
35,niggas those they wanna rap and steal my shit because they can't,31.338,37.955,,,,,,,,
36,my steal shit because they can't get shit go and,36.294,39.677,,,,,,,,
37,can't they get shit go and,37.415,39.677,,,,,,,,
38,get can't shit go and,37.575,39.677,,,,,,,,
39,shit get go and get a job stop trying,38.015,41.639,,,,,,,,
40,get and a job stop trying,39.577,41.639,,,,,,,,
41,a get job stop trying,39.777,41.639,,,,,,,,
42,job a stop trying to rob stop trying to fuck my mom,39.977,43.941,,,,,,,,
43,trying stop to fuck my mom my dick,42.54,44.702,,,,,,,,
44,fuck to my mom my dick,43.0,44.702,,,,,,,,
45,my fuck mom my dick,43.201,44.702,,,,,,,,
46,mom my my dick is bigger than yards fuck all,43.421,46.884,,,,,,,,
47,bigger is than yards fuck all,44.722,46.884,,,,,,,,
48,than bigger yards fuck all,44.862,46.884,,,,,,,,
49,yards than fuck all niggas they can,45.123,48.186,,,,,,,,
50,fuck yards all niggas they can,45.323,48.186,,,,,,,,
51,all fuck niggas they can,46.264,48.186,,,,,,,,
52,niggas all they can burn in hell fuck rosa,46.724,50.388,,,,,,,,
53,burn can in hell fuck rosa,48.126,50.388,,,,,,,,
54,in burn hell fuck rosa,48.266,50.388,,,,,,,,
55,hell in fuck rosa parks i'll slap that bitch as well niggas,48.546,53.391,,,,,,,,
56,that slap bitch as well niggas need,51.309,53.651,,,,,,,,
57,bitch that as well niggas need,51.529,53.651,,,,,,,,
58,as bitch well niggas need,51.749,53.651,,,,,,,,
59,well as niggas need to burn niggas need,51.99,55.373,,,,,,,,
60,need niggas to burn niggas need,53.051,55.373,,,,,,,,
61,to need burn niggas need,53.451,55.373,,,,,,,,
62,burn to niggas need to learn niggas can't,53.711,57.175,,,,,,,,
63,need niggas to learn niggas can't,54.752,57.175,,,,,,,,
64,to need learn niggas can't,55.153,57.175,,,,,,,,
65,learn to niggas can't pass class niggas can't learn yeah fuck,55.413,67.942,,,,,,,,
66,niggas class can't learn yeah fuck,57.675,67.942,,,,,,,,
67,can't niggas learn yeah fuck,58.156,67.942,,,,,,,,
68,learn can't yeah fuck all those niggas fuck all,58.556,69.844,,,,,,,,
69,all fuck those niggas fuck all,67.582,69.844,,,,,,,,
70,those all niggas fuck all,67.962,69.844,,,,,,,,
71,niggas those fuck all those niggas fuck all,68.182,71.546,,,,,,,,
72,all fuck those niggas fuck all,69.283,71.546,,,,,,,,
73,those all niggas fuck all,69.704,71.546,,,,,,,,
74,niggas those fuck all those niggas yeah bitch,69.884,73.828,,,,,,,,
75,all fuck those niggas yeah bitch,71.025,73.828,,,,,,,,
76,those all niggas yeah bitch,71.405,73.828,,,,,,,,
77,niggas those yeah bitch my,71.566,74.008,,,,,,,,
78,yeah niggas bitch my name is bobby two pistols you try,71.866,77.291,,,,,,,,
79,bobby is two pistols you try,74.288,77.291,,,,,,,,
80,two bobby pistols you try,74.448,77.291,,,,,,,,
81,pistols two you try to rob me i got a pistol i'm,74.849,80.394,,,,,,,,
82,i me got a pistol i'm shooting,77.871,80.874,,,,,,,,
83,got i a pistol i'm shooting,78.092,80.874,,,,,,,,
84,a got pistol i'm shooting,78.332,80.874,,,,,,,,
85,pistol a i'm shooting a black nigger in his head again and,78.572,83.837,,,,,,,,
86,in nigger his head again and bitch,81.355,84.197,,,,,,,,
87,his in head again and bitch,81.795,84.197,,,,,,,,
88,head his again and bitch,81.955,84.197,,,,,,,,
89,again head and bitch i am not george zimmerman i'm gonna,82.256,87.22,,,,,,,,
90,not am george zimmerman i'm gonna,84.538,87.22,,,,,,,,
91,george not zimmerman i'm gonna,84.718,87.22,,,,,,,,
92,zimmerman george i'm gonna kill that nigger dead kill that,85.118,89.462,,,,,,,,
93,that kill nigger dead kill that,87.28,89.462,,,,,,,,
94,nigger that dead kill that,87.54,89.462,,,,,,,,
95,dead nigger kill that nigger dead record that,87.741,91.204,,,,,,,,
96,that kill nigger dead record that,89.042,91.204,,,,,,,,
97,nigger that dead record that,89.322,91.204,,,,,,,,
98,dead nigger record that shit and put it on worldstar as well,89.522,93.686,,,,,,,,
99,it put on worldstar as well fuck all,91.644,94.827,,,,,,,,
100,worldstar on as well fuck all,92.205,94.827,,,,,,,,
101,as worldstar well fuck all,92.425,94.827,,,,,,,,
102,well as fuck all those niggas they can burn in hell fuck,93.286,97.931,,,,,,,,
103,can they burn in hell fuck eric,95.648,98.331,,,,,,,,
104,burn can in hell fuck eric,96.169,98.331,,,,,,,,
105,in burn hell fuck eric,96.309,98.331,,,,,,,,
106,hell in fuck eric garner he fat as fucking hell fuck all,96.589,101.555,,,,,,,,
107,as fat fucking hell fuck all,99.273,101.555,,,,,,,,
108,fucking as hell fuck all,99.633,101.555,,,,,,,,
109,hell fucking fuck all those niggas i'll choke them out fuck all,99.693,104.98,,,,,,,,
110,choke i'll them out fuck all,102.397,104.98,,,,,,,,
111,them choke out fuck all,102.657,104.98,,,,,,,,
112,out them fuck all those niggas i'll shoot it out if a,102.937,107.863,,,,,,,,
113,shoot i'll it out if a,105.841,107.863,,,,,,,,
114,it shoot out if a,106.101,107.863,,,,,,,,
115,out it if a nigger gets mad then we can shoot it,106.402,109.906,,,,,,,,
