span_id,span_text,start_time,end_time,has_excessive_profanity,has_slur,has_targeted_insult,llm_label,llm_confidence,llm_rationale,final_enforced_label
0,i simply must get through sorry you're much too big yeah man bobby two pistols in,0.824,7.075,,,,HATE_SPEECH_GENERAL,MEDIUM,The presence of a derogatory phrase 'you're much too big' and a potentially derogatory reference to a firearm 'two pistols in' suggests a general tone of hate speech.,HATE_SPEECH_GENERAL
1,much you're sorry through too big yeah man bobby two pistols in,2.066,7.075,,,,NONE,HIGH,"No explicit harmful content, excessive profanity, slur, or targeted insult found in the span_text.",NONE
2,too much you're sorry big yeah man bobby two pistols in,2.487,7.075,,,,HATE_SPEECH_GENERAL,MEDIUM,"The presence of the phrase 'two pistols in' suggests a potential reference to firearms, which may be associated with hate speech or extremist ideologies.",HATE_SPEECH_GENERAL
3,big too much you're yeah man bobby two pistols in,2.848,7.075,,,,NONE,HIGH,"No explicit harmful content, excessive profanity, slurs, or targeted insults found in the span_text.",NONE
4,yeah big too much man bobby two pistols in,3.048,7.075,,,,HATE_SPEECH_GENERAL,MEDIUM,"Presence of potentially derogatory term 'big' followed by 'two pistols', which may be interpreted as a threat or violent language.",HATE_SPEECH_GENERAL
5,man yeah big too bobby two pistols in his bitch yeah man fuck all those niggers man martin luther king deserved to be killed that fucking nigger just,3.469,14.108,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains a statement that promotes violence against a historical figure, Martin Luther King, which is a hallmark of extremism. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
6,king luther martin man deserved to be killed that fucking nigger just fuck those apart fuck those niggers man fuck all niggas fuck,10.001,24.249,,,,EXTREMISM_PROMOTION,LOW,"The span_text contains explicit and violent hate speech against a specific group, including racial slurs and profanity, which exceeds the minimum allowed label of HARASSMENT_OBSCENITY. | Overridden by deterministic minimum.",HARASSMENT_OBSCENITY
7,apart those fuck just fuck those niggers man fuck all niggas fuck,13.988,24.249,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains multiple instances of profanity and derogatory racial slurs, which is indicative of hate speech.",HATE_SPEECH_GENERAL
8,fuck apart those fuck those niggers man fuck all niggas fuck,14.168,24.249,,,,HATE_SPEECH_GENERAL,HIGH,"Presence of multiple instances of profanity, including derogatory racial slurs, indicates hate speech.",HATE_SPEECH_GENERAL
9,those fuck apart those niggers man fuck all niggas fuck,14.369,24.249,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profanity and derogatory terms ('fuck', 'niggers', 'niggas'), which indicates hate speech.",HATE_SPEECH_GENERAL
10,niggers those fuck apart man fuck all niggas fuck,14.649,24.249,,,,HATE_SPEECH_GENERAL,HIGH,The span_text contains multiple instances of racial slurs and excessive profanity.,HATE_SPEECH_GENERAL
11,man niggers those fuck fuck all niggas fuck all niggas fuck all those niggas fuck all those niggas fuck all those niggas fuck all those niggas,15.811,32.282,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains repeated instances of the slur 'niggas' and excessive profanity, which are indicative of hate speech.",HATE_SPEECH_GENERAL
12,niggas those all fuck fuck all those niggas fuck all those niggas,27.342,32.282,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains repeated use of profanity and a derogatory term, indicating a general tone of hate speech.",HATE_SPEECH_GENERAL
13,fuck niggas those all all those niggas fuck all those niggas,27.723,32.282,,,,HATE_SPEECH_GENERAL,HIGH,"The presence of repeated profanity and racial slur 'niggas' in the span_text, despite the flags being false, indicates a high level of hate speech.",HATE_SPEECH_GENERAL
14,all fuck niggas those those niggas fuck all those niggas,27.904,32.282,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profanity and derogatory language, which is indicative of hate speech.",HATE_SPEECH_GENERAL
15,those all fuck niggas niggas fuck all those niggas,28.185,32.282,,,,HATE_SPEECH_GENERAL,HIGH,"The span_text contains excessive profanity, including repeated use of the word 'fuck' and the word 'niggas', which is a derogatory term.",HATE_SPEECH_GENERAL
