original_index,span,label
6,championship? Vaguely remember working in Yorkshire and slagging the locals,CONFLICTUAL
9,@AdamBandt @janet_rice @larissawaters Think you've missed the whole point dumbarse.,CONFLICTUAL
18,Scotland if left to these imbeciles our only contribution to,CONFLICTUAL
27,everything yeah ugly bitches love to talk loads of craps,CONFLICTUAL
29,10. Or else You'll' meet with a terrible fate. You,CONFLICTUAL
39,forgot what a scum bag your racist ancestors are too!!,CONFLICTUAL
42,move their lips Just a bunch of gibberish And motherfuckers,CONFLICTUAL
46,Not the stimmy causing outright coonery. 🤢 This is why,CONFLICTUAL
48,"good.... Let me guess, you failed your suicide attempt? Well",CONFLICTUAL
49,mum finally lost it and called her a fucking idiot,CONFLICTUAL
50,Customer told me to suck a 🍆 and called me,CONFLICTUAL
53,like is very despicable. Nigga why do you hate yourself?,CONFLICTUAL
60,fancy restaurant. Get your dusty broke ass off my mentions,CONFLICTUAL
61,they could get a bent secret serviceman to sleep in,CONFLICTUAL
64,@user @laurenboebert She's a brainless idiot. I wouldn't waste time,CONFLICTUAL
68,just that selling them like sweeties to deranged fuckwits will,CONFLICTUAL
70,you even do this. Niggas are stupid. In the middle,CONFLICTUAL
76,of unemployment. Dnt make ppl suffer bcz of yr incompetence.,CONFLICTUAL
80,"his plays, than you are a fucking idiot. How many",CONFLICTUAL
85,just execute the whole family! the ends justify the means!,CONFLICTUAL
102,"written above all true; women are inferior mathematically, that is",CONFLICTUAL
105,comprehension. He makes the lowliest scumbags look like decent people.,CONFLICTUAL
109,"sometimes. So when we clapbacks, suddenly we hate ur bias.",CONFLICTUAL
116,of these ugly ass happy go lucky Twitter couples indulging,CONFLICTUAL
117,core of voters propping up this nonsense aren't around longer.,CONFLICTUAL
121,white boy called me a nigger i will nit back,CONFLICTUAL
126,be seated for your seditious acts on democracy it's a,CONFLICTUAL
128,left wing extreme twats. Not much in their gene pool.,CONFLICTUAL
134,@user These fucking nerds are why i hated the basalt,CONFLICTUAL
135,reblog models I use as thinspo and fucking gimps. Leave,CONFLICTUAL
143,for literally asking cops to stop killing Black people and,CONFLICTUAL
146,get it. Does' n't' your tinfoil hat itch? You realize,CONFLICTUAL
148,going to torpedo it. What a complete and utter twat.,CONFLICTUAL
150,"not to cry, in Jamaican dialect, what a fucking idiot",CONFLICTUAL
151,"mean really? Invent a whole pandemic, chaos, economic fckery -",CONFLICTUAL
153,I don't think anybody would wan na be a faggy.,CONFLICTUAL
159,kid grow up and get a fucking job or something,CONFLICTUAL
163,type of person offended by anything and everything. Typica Karen,CONFLICTUAL
171,"Why is it a 'white person','''' is called white &",CONFLICTUAL
175,@user We call Democrats like you victims. Is it unfortunate,CONFLICTUAL
179,"@user They ain't trynna talk about it, they think they",CONFLICTUAL
196,igbos run.. let them learn how to crystallize igbo votes.,CONFLICTUAL
200,teach me how to cancel you. You love shitbags with,CONFLICTUAL
202,@user @edballs What do you not understand about the vaccine,CONFLICTUAL
204,Funfact The RoyalFamily is protecting sexual predator and pedophile PrinceAndrew,CONFLICTUAL
209,But all the people now who are so outraged that,CONFLICTUAL
211,"from the right, you know, exploiting people for clicks and",CONFLICTUAL
212,by the way mount sinai emergency room fucking sucks dick,CONFLICTUAL
218,@user Dishonoured scum and low-life being,CONFLICTUAL
223,This planet is full of pussies and they try to,CONFLICTUAL
225,Fernandinho gets fuck all. FA being spineless fucking cowards AGAIN,CONFLICTUAL
235,@JoeBiden the buying off of America. WE WANT JOBS numbskull!!!!!,CONFLICTUAL
241,@user yeah - thats scumbag mentality. Leave the pile neat!,CONFLICTUAL
249,ppl posting me and going 'ew I hope I never,CONFLICTUAL
252,@user @user Seeing and making radical leftist triggered is one,CONFLICTUAL
254,"in basing an article on Jamie' O'Hara's' tiresome fuckwittery, I",CONFLICTUAL
271,evidence you believe this woman just because she's black. It's,CONFLICTUAL
272,manic depressive bulimic girl tries to become a body builder,CONFLICTUAL
284,If you're a fat piece of shit like me and,CONFLICTUAL
306,staking opens 31s october. I must join the whitelist list.,CONFLICTUAL
312,Summer of 2020. lying pieces of shite. The Utrudopian Cult,CONFLICTUAL
318,head still intact so gtfoh with your scummy vile views,CONFLICTUAL
330,this was a good article subject needs to be slapped.,CONFLICTUAL
332,should have asked the nobhead interviewer what team he played,CONFLICTUAL
348,keep living in your fantasy world you dumb stupid cunt,CONFLICTUAL
352,"anything by leaving the skinned cat.on the doorstep',''' fuk people",CONFLICTUAL
357,all knew that nigger-area has no president. Shame to nigger-area,CONFLICTUAL
359,idiots) is very likely bad for the consumer and society,CONFLICTUAL
372,"meant for the traitors and the pussies leaving Trump, not",CONFLICTUAL
373,you will find out. Meanwhile these halfwits are spreading it,CONFLICTUAL
375,na block you because your lack of brain cells is,CONFLICTUAL
379,about Trump brags about grabbing women by their pussys. The,CONFLICTUAL
383,"that the manager i had was a fucking cunt, plus",CONFLICTUAL
386,"months, and you stupid Mississippi andTexas motherfuckers just can't fucking",CONFLICTUAL
389,you move on an ex-President and his gang of maggots.,CONFLICTUAL
400,me angrily ranting about these fucking morons I'm always thinking,CONFLICTUAL
403,yrs old i told one of my tias (who was,CONFLICTUAL
410,"gon na go wild, some dumbass fucking fans are gon",CONFLICTUAL
418,see where half these peoples arguments go considering I def,CONFLICTUAL
420,"law is worse then the Civil War, you grotesque twat?",CONFLICTUAL
437,definitely shouldnt be considering it.The blokes a self centred twat,CONFLICTUAL
446,You're a disgrace if you think this is anti corruption.,CONFLICTUAL
454,pinned tweet says everything we need to know about you.,CONFLICTUAL
458,Wtf is going on on Boruto??? Like don't tell me,CONFLICTUAL
463,i hope some targets that utter twat!!!!,CONFLICTUAL
